"time","lat","lon","average","max","min","range","remarks","sound"
"2021-07-17_09-58-53",35.5048173,139.53460583,54.2,64.3,49.5,14.8,"自動車","https://drive.google.com/file/d/1HAEniJdnzEsXRfxb4HjuwgKHXXub8GcJ/view?usp=sharing"
"2021-07-17_10-00-50",35.50468854,139.53490608,48.6,50.3,46,4.3,,"https://drive.google.com/file/d/1CCoB1tj7_J1Gzb-ea8GKQ1ozXQnN2wBa/view?usp=sharing"
"2021-07-17_10-02-45",35.5045618,139.53527214,43.2,47.3,41,6.3,,"https://drive.google.com/file/d/1MPjF4uPWFZTdmPaO8PeszqdCi9BhnEnH/view?usp=sharing"
"2021-07-17_10-04-40",35.50483953,139.53551265,48.7,50.1,46.7,3.4,,"https://drive.google.com/file/d/1LsGPAHmOjh6XbwSOLpVCGPeOsNmSOyHV/view?usp=sharing"
"2021-07-17_10-07-00",35.5043012,139.53513929,48.5,64.8,47,17.8,,"https://drive.google.com/file/d/1waB9wUq-dhRqlYVGM478-eY8v68YKu8X/view?usp=sharing"
"2021-07-17_10-11-37",35.50382671,139.53479192,49.6,58.5,47.2,11.3,"ウグイス","https://drive.google.com/file/d/1e8Ypqkk5Y-LKuMrd5IMAlX2lum0aBeWe/view?usp=sharing"
"2021-07-17_10-14-28",35.503707,139.53455437,44.4,55,42.3,12.7,"ウグイス","https://drive.google.com/file/d/1INT3guaqzsCGls-APMob_6dsMyPSp6oL/view?usp=sharing"
"2021-07-17_10-16-28",35.50348462,139.53393853,53.2,62,51.2,10.8,"ウグイス","https://drive.google.com/file/d/1ZkTkfrtGU8YcKwIo5d1eFlMbE2xUNMO6/view?usp=sharing"
"2021-07-17_10-18-13",35.5038625,139.53368444,45.1,55.4,39.4,16,"ヒヨドリ","https://drive.google.com/file/d/1kHz1LvWj5uIhonNWLU1VRi_wr2Ffg1ks/view?usp=sharing"
"2021-07-17_10-20-55",35.50292774,139.5334968,49.7,61.9,46.6,15.3,"鳥(不明)","https://drive.google.com/file/d/1bqkLtKBNkadg1dsGuhcPeTMv1jztEw_D/view?usp=sharing"
"2021-07-17_10-22-56",35.50235384,139.53345529,46,51.3,43.4,7.9,"カラス","https://drive.google.com/file/d/1EOYoW9wd-029icAGF-H7IU6Yh7WZst8g/view?usp=sharing"
"2021-07-17_10-24-58",35.50186151,139.53343535,46.9,52,44,8,"カラス","https://drive.google.com/file/d/1fsHH-Gj8roiGX_34D1fjCvLw2a3WZ_Ku/view?usp=sharing"
"2021-07-17_10-27-58",35.50148131,139.5322664,47.5,60.6,44.4,16.2,"カラス","https://drive.google.com/file/d/1vfECPQrR0GF8_eYPnWUI0hdajGUY-Kvl/view?usp=sharing"
"2021-07-17_10-32-58",35.5019617,139.53167978,54,57.9,52.2,5.7,"カラス","https://drive.google.com/file/d/1Z8rUG5ttTI4bqliFOACF1tuVz3L3WYNA/view?usp=sharing"
"2021-07-17_10-35-25",35.50199467,139.53243746,42.2,57.6,32,25.6,"カラス、ヤマガラ","https://drive.google.com/file/d/1oPEjBEUZIz0vwFzxS057hqC03MUA5mYO/view?usp=sharing"
"2021-07-17_10-38-55",35.50164432,139.53272235,40.4,54.8,35.5,19.3,"カラス","https://drive.google.com/file/d/1KDcF5dCKah0N1JQ_7RiG7xP5LPy4n4bS/view?usp=sharing"
